name,category,image_url,date_sold_item,median_price_sold_item,count_sold_item
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-18,233.709,264
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-19,240.774,296
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-20,238.343,204
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-21,237.095,245
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-22,233.676,252
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-23,244.662,251
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-24,233.633,211
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-25,237.081,262
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-26,244.204,259
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-27,244.445,177
